急性上呼吸道感染,http://www.navo.top/wx_msgs/spview/4529411/3785621,呼吸内科,1001,101
急性气管支气管炎,http://www.navo.top/wx_msgs/spview/4529411/3785629,呼吸内科,1001,101
肺炎,http://www.navo.top/wx_msgs/spview/4529411/3785637,呼吸内科,1001,101
肺脓肿,http://www.navo.top/wx_msgs/spview/4529411/3785666,呼吸内科,1001,101
特发性肺纤维化,http://www.navo.top/wx_msgs/spview/4529411/3785672,呼吸内科,1001,101
肺泡蛋白沉积症,http://www.navo.top/wx_msgs/spview/4529411/3785681,呼吸内科,1001,101
自发性气胸,http://www.navo.top/wx_msgs/spview/4529411/3785682,呼吸内科,1001,101
胸腔积液,http://www.navo.top/wx_msgs/spview/4529411/3785683,呼吸内科,1001,101
支气管扩张,http://www.navo.top/wx_msgs/spview/4529411/3785685,呼吸内科,1001,101
慢性支气管炎,http://www.navo.top/wx_msgs/spview/4529411/3785686,呼吸内科,1001,101
慢性阻塞性肺疾病,http://www.navo.top/wx_msgs/spview/4529411/3785687,呼吸内科,1001,101
支气管哮喘,http://www.navo.top/wx_msgs/spview/4529411/3785688,呼吸内科,1001,101
肺血栓栓塞症,http://www.navo.top/wx_msgs/spview/4529411/3785689,呼吸内科,1001,101
慢性肺源性心脏病,http://www.navo.top/wx_msgs/spview/4529411/3785691,呼吸内科,1001,101
慢性呼吸衰竭,http://www.navo.top/wx_msgs/spview/4529411/3785692,呼吸内科,1001,101
胃食管反流,http://www.navo.top/wx_msgs/spview/4529411/3785693,消化内科,1002,101
贲门失弛缓症,http://www.navo.top/wx_msgs/spview/4529411/3785695,消化内科,1002,101
慢性胃炎,http://www.navo.top/wx_msgs/spview/4529411/3785696,消化内科,1002,101
消化性溃疡,http://www.navo.top/wx_msgs/spview/4529411/3785697,消化内科,1002,101
溃疡性结肠炎,http://www.navo.top/wx_msgs/spview/4529411/3785698,消化内科,1002,101
克罗恩病,http://www.navo.top/wx_msgs/spview/4529411/3785699,消化内科,1002,101
功能性消化不良,http://www.navo.top/wx_msgs/spview/4529411/3785700,消化内科,1002,101
肠易激综合征,http://www.navo.top/wx_msgs/spview/4529411/3785701,消化内科,1002,101
肝硬化,http://www.navo.top/wx_msgs/spview/4529411/3785702,消化内科,1002,101
酒精性肝病,http://www.navo.top/wx_msgs/spview/4529411/3785703,消化内科,1002,101
药物性肝病,http://www.navo.top/wx_msgs/spview/4529411/3785704,消化内科,1002,101
急性胰腺炎,http://www.navo.top/wx_msgs/spview/4529411/3785705,消化内科,1002,101
慢性胰腺炎,http://www.navo.top/wx_msgs/spview/4529411/3785706,消化内科,1002,101
胆囊炎,http://www.navo.top/wx_msgs/spview/4529411/3785707,消化内科,1002,101
胆总管结石,http://www.navo.top/wx_msgs/spview/4529411/3785709,消化内科,1002,101
慢性肾小球肾炎,http://www.navo.top/wx_msgs/spview/4529411/3785710,肾内科,1003,101
肾病综合征,http://www.navo.top/wx_msgs/spview/4529411/3785711,肾内科,1003,101
IgA肾病,http://www.navo.top/wx_msgs/spview/4529411/3785712,肾内科,1003,101
狼疮性肾炎,http://www.navo.top/wx_msgs/spview/4529411/3785713,肾内科,1003,101
过敏性紫癜性肾炎,http://www.navo.top/wx_msgs/spview/4529411/3785714,肾内科,1003,101
尿路感染,http://www.navo.top/wx_msgs/spview/4529411/3785715,肾内科,1003,101
药物性肾损伤,http://www.navo.top/wx_msgs/spview/4529411/3785716,肾内科,1003,101
急性肾衰竭,http://www.navo.top/wx_msgs/spview/4529411/3785717,肾内科,1003,101
慢性肾衰竭,http://www.navo.top/wx_msgs/spview/4529411/3785718,肾内科,1003,101
血液透析,http://www.navo.top/wx_msgs/spview/4529411/3785720,肾内科,1003,101
连续性肾脏替代治疗,http://www.navo.top/wx_msgs/spview/4529411/3785721,肾内科,1003,101
腹膜透析,http://www.navo.top/wx_msgs/spview/4529411/3785722,肾内科,1003,101
尿崩症,http://www.navo.top/wx_msgs/spview/4529411/3785723,内分泌科,1004,101
垂体瘤,http://www.navo.top/wx_msgs/spview/4529411/3785724,内分泌科,1004,101
垂体功能减退症,http://www.navo.top/wx_msgs/spview/4529411/3785726,内分泌科,1004,101
甲状腺功能亢进症,http://www.navo.top/wx_msgs/spview/4529411/3785727,内分泌科,1004,101
亚急性甲状腺炎,http://www.navo.top/wx_msgs/spview/4529411/3785729,内分泌科,1004,101
甲状腺功能减退症,http://www.navo.top/wx_msgs/spview/4529411/3785730,内分泌科,1004,101
库欣综合征,http://www.navo.top/wx_msgs/spview/4529411/3785731,内分泌科,1004,101
原发性慢性肾上腺皮质功能减退症,http://www.navo.top/wx_msgs/spview/4529411/3785733,内分泌科,1004,101
